Stock,Percentage
TRGP,3.942754226851027
PLTR,3.866907434673139
NVDA,3.837364073910056
TPL,3.0439300552612703
EQT,2.881291641118315
TSLA,2.7047835467054058
BLDR,2.4962327994760787
FANG,2.357038569683192
DVN,2.218231899425882
TPR,2.1682946462691683
FSLR,2.0707610252170805
APA,1.9868456245777741
STLD,1.9850308052024768
RCL,1.9419250267974044
FCX,1.8211527650406019
DFS,1.8087986446103055
LRCX,1.8044598118655355
URI,1.6838884438720236
PHM,1.6687314317396305
PH,1.600762248334912
KKR,1.5792048691394438
APO,1.5403491479386915
HAL,1.5357382396285257
ON,1.4463765600666514
VLO,1.4238670417067918
MS,1.36608179979596
COF,1.3648446971869528
NUE,1.3466321102814574
GS,1.3304769002921382
SPG,1.3242368363670463
RL,1.319623139169444
SYF,1.309628285115082
DHI,1.3014012592006434
HCA,1.2954762774873423
AMAT,1.2576847118718966
BX,1.2416320618218502
BKNG,1.1848174694424425
MAR,1.1691442588990224
LEN,1.1660226378783676
CBRE,1.1349831452826933
IR,1.131743133433233
AMD,1.0759753140219026
CFG,1.0404476699474239
F,1.013129197890829
ENPH,1.0098435528126009
EXPE,0.9893462975567887
NXPI,0.988328909544268
DD,0.8935702981926329
KIM,0.890581232512016
MRNA,0.8487922948361691
SHW,0.7954209448795296
EBAY,0.785368558893416
IVZ,0.7381030004598125
BLK,0.7114327030235067
MCO,0.6550463805149084
KEY,0.6451986780956984
WY,0.6432529841202644
MGM,0.6205110784912199
ULTA,0.6201430183453458
EMN,0.6034041990472537
POOL,0.6011938519586247
EFX,0.5681552715640238
GNRC,0.5648637552467748
TRMB,0.5509815847142645
C,0.5453598024936789
ROK,0.5109721537255834
UHS,0.44436023813099035
PODD,0.4406856964026073
TER,0.4370315916120833
STT,0.38861099691622264
IDXX,0.3525465241693675
NSC,0.3426188661410664
ADSK,0.3226398410265019
IQV,0.3014293433112263
MCHP,0.2983605705345611
BBY,0.2644212670116226
MHK,0.2598252666736883
WDC,0.2574791281663429
NCLH,0.24124772273883152
ALB,0.22612340232365846
EPAM,0.22537102110720986
CZR,0.19282424596244443
WYNN,0.17452462076610556
CRL,0.12695478191184117
CCL,0.07137134250550257
PARA,0.06300149706263049
